Название	Год	Рейтинг	Страна	Жанр	Режиссёр
1+1	2011	8.4	Франция	драма	Оливье Накаш
Интерстеллар	2014	8.3	США	фантастика	Кристофер Нолан
Побег из Шоушенка	1994	8.2	США	драма	Фрэнк Дарабонт
Остров проклятых	2009	8.1	США	триллер	Мартин Скорсезе
Зеленая миля	1999	8.1	США	драма	Фрэнк Дарабонт
Джентльмены	2019	8.1	США	криминал	Гай Ричи
Властелин колец: Возвращение короля	2003	8.1	Новая Зеландия	фэнтези	Питер Джексон
Форрест Гамп	1994	8.1	США	драма	Роберт Земекис
Бойцовский клуб	1999	8.1	США	триллер	Дэвид Финчер
Властелин колец: Братство кольца	2001	8.0	Новая Зеландия	фэнтези	Питер Джексон
Унесённые призраками	2001	8.0	Япония	аниме	Хаяо Миядзаки
Терминатор 2: Судный день	1991	8.0	США	фантастика	Джеймс Кэмерон
Зеленая книга	2018	8.0	США	биография	Питер Фаррелли
Леон	1994	7.9	Франция	боевик	Люк Бессон
Гладиатор	2000	7.9	США	история	Ридли Скотт
Властелин колец: Две крепости	2002	7.9	Новая Зеландия	фэнтези	Питер Джексон
Достучаться до небес	1997	7.9	Германия	драма	Томас Ян
Начало	2010	7.9	США	фантастика	Кристофер Нолан
Криминальное чтиво	1994	7.9	США	криминал	Квентин Тарантино
Унесённые ветром	1939	7.9	США	мелодрама	Виктор Флеминг
Список Шиндлера	1993	7.8	США	драма	Стивен Спилберг
Операция «Ы» и другие приключения Шурика	1965	7.8	СССР	комедия	Леонид Гайдай
Тайна Коко	2017	7.8	США	мультфильм	Ли Анкрич
Брат 2	2000	7.8	Россия	боевик	Алексей Балабанов
Девчата	1962	7.8	СССР	мелодрама	Юрий Чулюкин
Темный рыцарь	2008	7.8	США	фантастика	Кристофер Нолан
Бриллиантовая рука	1968	7.8	СССР	комедия	Леонид Гайдай
Брат	1997	7.8	Россия	драма	Алексей Балабанов
Иван Васильевич меняет профессию	1973	7.8	СССР	комедия	Леонид Гайдай
Собачье сердце	1988	7.7	СССР	драма	Владимир Бортко
Большой куш	2000	7.7	Великобритания	криминал	Гай Ричи
Дангал	2016	7.7	Индия	драма	Нитеш Тивари
Назад в будущее	1985	7.7	США	фантастика	Роберт Земекис
Шрэк	2001	7.7	США	мультфильм	Эндрю Адамсон
Хатико: Самый верный друг	2008	7.7	США	драма	Лассе Халльстрём
Пианист	2002	7.7	Франция	драма	Роман Полански
Дикий робот	2024	7.7	США	мультфильм	Крис Сандерс
Волк с Уолл-стрит	2013	7.7	США	драма	Мартин Скорсезе
Кавказская пленница, или Новые приключения Шурика	1966	7.7	СССР	комедия	Леонид Гайдай
Поймай меня, если сможешь	2002	7.7	США	криминал	Стивен Спилберг
Гарри Поттер и философский камень	2001	7.6	Великобритания	фэнтези	Крис Коламбус
Карты, деньги, два ствола	1998	7.6	Великобритания	боевик	Гай Ричи
Крестный отец	1972	7.6	США	драма	Фрэнсис Форд Коппола
Пятый элемент	1997	7.6	Франция	фантастика	Люк Бессон
Трасса 60	2001	7.6	Канада	фантастика	Боб Гейл
Матрица	1999	7.6	США	фантастика	Лана Вачовски
Одержимость	2013	7.6	США	драма	Дэмьен Шазелл
Престиж	2006	7.6	Великобритания	триллер	Кристофер Нолан
Титаник	1997	7.6	США	мелодрама	Джеймс Кэмерон
В августе 44-го	2001	7.6	Россия	боевик	Михаил Пташук
Гарри Поттер и узник Азкабана	2004	7.6	Великобритания	фэнтези	Альфонсо Куарон
Малышка на миллион	2004	7.6	США	драма	Клинт Иствуд
Джанго освобожденный	2012	7.6	США	вестерн	Квентин Тарантино
Вторая жизнь Уве	2015	7.6	Швеция	драма	Ханнес Холм
...А зори здесь тихие	1972	7.6	СССР	драма	Станислав Ростоцкий
Укрощение строптивого	1980	7.6	Италия	мелодрама	Франко Кастеллано
Пеле: Рождение легенды	2015	7.6	США	биография	Джефф Цимбалист
Одна жизнь	2023	7.6	Великобритания	драма	Джеймс Хоуз
Отступники	2006	7.6	США	криминал	Мартин Скорсезе
Семь	1995	7.6	США	триллер	Дэвид Финчер
Гордость и предубеждение	2005	7.6	Великобритания	драма	Джо Райт
Пираты Карибского моря: Проклятие Черной жемчужины	2003	7.5	США	фэнтези	Гор Вербински
Бесславные ублюдки	2009	7.5	Германия	боевик	Квентин Тарантино
Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей	1981	7.5	СССР	детектив	Игорь Масленников
Достать ножи	2019	7.5	США	детектив	Райан Джонсон
Дело храбрых	2017	7.5	США	драма	Джозеф Косински
Апокалипсис	2006	7.5	США	боевик	Мэл Гибсон
Шерлок Холмс и доктор Ватсон: Знакомство	1979	7.5	СССР	криминал	Игорь Масленников
Один дома	1990	7.5	США	комедия	Крис Коламбус
Лев	2016	7.5	Австралия	драма	Гарт Дэвис
Джентльмены удачи	1971	7.5	СССР	комедия	Александр Серый
Законопослушный гражданин	2009	7.5	США	боевик	Ф. Гэри Грей
Иди и смотри	1985	7.5	СССР	драма	Элем Климов
Дюна: Часть вторая	2024	7.5	США	фантастика	Дени Вильнёв
Белая птица: Новое чудо	2023	7.5	США	драма	Марк Форстер
Шоу Трумана	1998	7.5	США	драма	Питер Уир
Счастливое число Слевина	2005	7.5	США	триллер	Пол Макгиган
Крик тишины	2019	7.5	Россия	драма	Владимир Потапов
Паразиты	2019	7.5	Корея Южная	драма	Пон Джун-хо
Области тьмы	2011	7.5	США	триллер	Нил Бёргер
Омерзительная восьмерка	2015	7.5	США	вестерн	Квентин Тарантино
Планета Ка-Пэкс	2001	7.5	Германия	фантастика	Иэн Софтли
Пожары	2010	7.5	Канада	драма	Дени Вильнёв
Лучшее предложение	2012	7.5	Италия	триллер	Джузеппе Торнаторе
Самый быстрый Indian	2005	7.5	Новая Зеландия	драма	Роджер Дональдсон
Алеша Попович и Тугарин Змей	2004	7.5	Россия	мультфильм	Константин Бронзит
Лекарь: Ученик Авиценны	2013	7.5	Германия	приключения	Филипп Штёльцль
Реквием по мечте	2000	7.5	США	драма	Даррен Аронофски
12 лет рабства	2013	7.5	Великобритания	драма	Стив МакКуин
Приключения Паддингтона 2	2017	7.4	Франция	фэнтези	Пол Кинг
Жизнь Дэвида Гейла	2002	7.4	Великобритания	триллер	Алан Паркер
12 стульев	1971	7.4	СССР	комедия	Леонид Гайдай
Догвилль	2003	7.4	Дания	триллер	Ларс фон Триер
Отель Мумбаи: Противостояние	2018	7.4	США	боевик	Энтони Марас
Шрэк 2	2004	7.4	США	мультфильм	Эндрю Адамсон
Дурак	2014	7.4	Россия	драма	Юрий Быков
Адвокат дьявола	1997	7.4	США	триллер	Тейлор Хэкфорд
Они сражались за Родину	1975	7.4	СССР	драма	Сергей Бондарчук
Гарри Поттер и Тайная комната	2002	7.4	Великобритания	фэнтези	Крис Коламбус
Игры разума	2001	7.4	США	биография	Рон Ховард
Гарри Поттер и Дары Смерти: Часть II	2011	7.4	Великобритания	фэнтези	Дэвид Йейтс
Молчание ягнят	1990	7.4	США	триллер	Джонатан Демме
Кин-дза-дза!	1986	7.4	СССР	фантастика	Георгий Данелия
Троя	2004	7.4	США	боевик	Вольфганг Петерсен
Клаус	2019	7.4	Испания	мультфильм	Серхио Паблос
Поток	2024	7.4	Латвия	мультфильм	Гинтс Зильбалодис
Искупление	2007	7.4	Великобритания	драма	Джо Райт
Война	2002	7.4	Россия	боевик	Алексей Балабанов
Артур, ты король	2024	7.4	США	драма	Саймон Селлан Джонс
Ла-Ла Ленд	2016	7.4	США	мюзикл	Дэмьен Шазелл
Крестный отец 2	1974	7.4	США	драма	Фрэнсис Форд Коппола
По соображениям совести	2016	7.4	США	биография	Мэл Гибсон
12 разгневанных мужчин	1956	7.4	США	драма	Сидни Люмет
Чудо	2017	7.4	США	драма	Стивен Чбоски
Безумный Макс: Дорога ярости	2015	7.4	Австралия	боевик	Джордж Миллер
Балканский рубеж	2019	7.4	Россия	боевик	Андрей Волгин
Афоня	1975	7.4	СССР	драма	Георгий Данелия
Как прогулять школу с пользой	2017	7.4	Франция	драма	Николя Ванье
Чужой	1979	7.4	Великобритания	ужасы	Ридли Скотт
Вокзал для двоих	1982	7.4	СССР	драма	Эльдар Рязанов
Такси	1998	7.4	Франция	боевик	Жерар Пирес
Король говорит!	2010	7.4	США	драма	Том Хупер
Невозможное	2012	7.4	Испания	драма	Хуан Антонио Байона
Далласский клуб покупателей	2013	7.4	США	драма	Жан-Марк Валле
Приходи на меня посмотреть	2000	7.4	Россия	мелодрама	Михаил Агранович
Страсти Христовы	2004	7.4	США	драма	Мэл Гибсон
Холодное лето пятьдесят третьего...	1987	7.4	СССР	драма	Александр Прошкин
Карнавальная ночь	1956	7.4	СССР	комедия	Эльдар Рязанов
Брестская крепость	2010	7.4	Беларусь	военный	Александр Котт
Люди в чёрном	1997	7.4	США	фантастика	Барри Зонненфельд
Гарри Поттер и Кубок огня	2005	7.4	Великобритания	фэнтези	Майк Ньюэлл
Джокер	2019	7.4	США	драма	Тодд Филлипс
Мимино	1977	7.4	СССР	драма	Георгий Данелия
Опасная игра Слоун	2016	7.3	США	драма	Джон Мэдден
Амели	2001	7.3	Франция	мелодрама	Жан-Пьер Жёне
Самая обаятельная и привлекательная	1985	7.3	СССР	мелодрама	Геральд Бежанов
Легенда №17	2012	7.3	Россия	биография	Николай Лебедев
Аватар	2009	7.3	США	фантастика	Джеймс Кэмерон
Век Адалин	2015	7.3	США	драма	Ли Толанд Кригер
Приключения Шерлока Холмса и доктора Ватсона: Король шантажа	1980	7.3	СССР	криминал	Игорь Масленников
Ворошиловский стрелок	1999	7.3	Россия	драма	Станислав Говорухин
Билли Эллиот	2000	7.3	Великобритания	драма	Стивен Долдри
Небо	2021	7.3	Россия	военный	Игорь Копылов
Реальная любовь	2003	7.3	Великобритания	мелодрама	Ричард Кёртис
Исчезнувшая	2014	7.3	США	триллер	Дэвид Финчер
Белое солнце пустыни	1969	7.3	СССР	боевик	Владимир Мотыль
Не может быть!	1975	7.3	СССР	мелодрама	Леонид Гайдай
Жестокий романс	1984	7.3	СССР	драма	Эльдар Рязанов
Пираты Карибского моря: Сундук мертвеца	2006	7.3	США	фэнтези	Гор Вербински
Апокалипсис сегодня	1979	7.3	США	военный	Фрэнсис Форд Коппола
Иллюзионист	2005	7.3	США	драма	Нил Бёргер
Приключения Реми	2018	7.3	Франция	мелодрама	Антуан Блоссье
12	2007	7.3	Россия	триллер	Никита Михалков
Шерлок Холмс и доктор Ватсон: Смертельная схватка	1980	7.3	СССР	криминал	Игорь Масленников
Вам и не снилось...	1980	7.3	СССР	драма	Илья Фрэз
Подольские курсанты	2020	7.3	Россия	военный	Вадим Шмелев
Олдбой	2003	7.3	Корея Южная	триллер	Пак Чхан-ук
Назад в будущее 2	1989	7.3	США	фантастика	Роберт Земекис
Граф Монте-Кристо	2024	7.3	Франция	триллер	Александр де Ла Пательер
Загадочная история Бенджамина Баттона	2008	7.3	США	драма	Дэвид Финчер
Принцесса Мононоке	1997	7.3	Япония	аниме	Хаяо Миядзаки
Славные парни	1990	7.3	США	драма	Мартин Скорсезе
Особенности национальной охоты	1995	7.3	Россия	комедия	Александр Рогожкин
Вечера на хуторе близ Диканьки	1961	7.3	СССР	фэнтези	Александр Роу
Дневник памяти	2004	7.3	США	драма	Ник Кассаветис
Игра	1997	7.3	США	триллер	Дэвид Финчер
Укрась прощальное утро цветами обещания	2018	7.3	Япония	аниме	Мари Окада
Охота	2012	7.3	Дания	драма	Томас Винтерберг
Мстители: Война бесконечности	2018	7.3	США	фантастика	Энтони Руссо
Игра в имитацию	2014	7.3	США	биография	Мортен Тильдум
Вечное сияние чистого разума	2004	7.3	США	мелодрама	Мишель Гондри
Мотылёк	2017	7.3	США	драма	Михаэль Ноер
Хористы	2004	7.3	Франция	драма	Кристоф Барратье
Звёздные войны: Эпизод 3 – Месть ситхов	2005	7.3	США	фантастика	Джордж Лукас
Головоломка	2015	7.3	США	мультфильм	Пит Доктер
Твоё имя	2016	7.3	Япония	аниме	Макото Синкай
Другие	2001	7.3	Испания	ужасы	Алехандро Аменабар
Убить Билла	2003	7.3	США	боевик	Квентин Тарантино
Бронкская история	1993	7.3	США	драма	Роберт Де Ниро
Хоббит: Нежданное путешествие	2012	7.3	Новая Зеландия	фэнтези	Питер Джексон
Покровские ворота	1982	7.3	СССР	мюзикл	Михаил Козаков
Общество мертвых поэтов	1989	7.3	США	драма	Питер Уир
Красота по-американски	1999	7.3	США	драма	Сэм Мендес
Счастье в конверте	2019	7.3	Россия	семейный	Светлана Суханова
Экипаж	2016	7.3	Россия	драма	Николай Лебедев
Мстители: Финал	2019	7.3	США	фантастика	Энтони Руссо
Курьер	1986	7.3	СССР	драма	Карен Шахназаров
В погоне за счастьем	2006	7.3	США	драма	Габриэле Муччино
Чужие	1986	7.3	Великобритания	ужасы	Джеймс Кэмерон
День выборов	2007	7.3	Россия	комедия	Олег Фомин
О чём говорят мужчины	2010	7.3	Россия	комедия	Дмитрий Дьяченко
Эффект бабочки	2003	7.3	США	фантастика	Эрик Бресс
Железный человек	2008	7.3	США	фантастика	Джон Фавро
Темный рыцарь: Возрождение легенды	2012	7.3	США	фантастика	Кристофер Нолан
Американская история X	1998	7.3	США	драма	Тони Кэй
Сталкер	1979	7.3	СССР	фантастика	Андрей Тарковский
Игрушка	1976	7.3	Франция	драма	Франсис Вебер
Отель «Гранд Будапешт»	2014	7.3	США	комедия	Уэс Андерсон
Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра	1980	7.3	СССР	криминал	Игорь Масленников
Казино	1995	7.3	США	драма	Мартин Скорсезе
Нечто	1982	7.3	США	ужасы	Джон Карпентер
Гонка	2013	7.3	Великобритания	спорт	Рон Ховард
Один дома 2: Затерянный в Нью-Йорке	1992	7.3	США	комедия	Крис Коламбус
Эта замечательная жизнь	1947	7.2	США	фэнтези	Фрэнк Капра
Землетрясение	2010	7.2	Китай	драма	Фэн Сяоган
Прислуга	2011	7.2	США	драма	Тейт Тейлор
Мой Хатико	2023	7.2	Китай	драма	Сюй Ан
Пленницы	2013	7.2	США	триллер	Дени Вильнёв
Изгой	2000	7.2	США	драма	Роберт Земекис
Тот самый Мюнхгаузен	1979	7.2	СССР	фэнтези	Марк Захаров
Форсаж	2001	7.2	США	боевик	Роб Коэн
Человек-паук	2002	7.2	США	фантастика	Сэм Рэйми
Выстрел в пустоту	2015	7.2	США	криминал	Рик Роман Во
Лицо со шрамом	1983	7.2	США	драма	Брайан Де Пальма
Работа без авторства	2018	7.2	Германия	биография	Флориан Хенкель фон Доннерсмарк
Таксист	2017	7.2	Корея Южная	история	Чан Хун
Гараж	1979	7.2	СССР	драма	Эльдар Рязанов
Невидимый гость	2016	7.2	Испания	триллер	Ориол Паоло
Бегущий по лезвию 2049	2017	7.2	США	фантастика	Дени Вильнёв
Один день	2011	7.2	США	драма	Лоне Шерфиг
Воин	2011	7.2	США	драма	Гэвин О’Коннор
Старикам тут не место	2007	7.2	США	триллер	Итан Коэн
Пролетая над гнездом кукушки	1975	7.2	США	драма	Милош Форман
Звук свободы	2023	7.2	Мексика	драма	Алехандро Гомес Монтеверде
Константин: Повелитель тьмы	2005	7.2	США	фэнтези	Фрэнсис Лоуренс
Пираты Карибского моря: На краю света	2007	7.2	США	приключения	Гор Вербински
Убойные каникулы	2010	7.2	Канада	комедия	Илай Крэйг
Чего хотят женщины	2000	7.2	США	мелодрама	Нэнси Майерс
Большая игра	2017	7.2	США	биография	Аарон Соркин
Гарри Поттер и Принц-полукровка	2009	7.2	Великобритания	фэнтези	Дэвид Йейтс
Терминатор	1984	7.2	США	фантастика	Джеймс Кэмерон
Профессионал	1981	7.2	Франция	боевик	Жорж Лотнер
Ученик чудовища	2015	7.2	Япония	аниме	Мамору Хосода
Три билборда на границе Эббинга, Миссури	2017	7.2	Великобритания	драма	Мартин Макдона
Бешеные псы	1991	7.2	США	криминал	Квентин Тарантино
Добро пожаловать, или Посторонним вход воспрещен	1964	7.2	СССР	комедия	Элем Климов
День сурка	1993	7.2	США	фэнтези	Харольд Рэмис
Шестое чувство	1999	7.2	США	детектив	М. Найт Шьямалан
Город бога	2002	7.2	Бразилия	драма	Фернанду Мейреллиш
Хранители	2009	7.2	США	фантастика	Зак Снайдер
Васаби	2001	7.2	Франция	криминал	Жерар Кравчик
Хоббит: Битва пяти воинств	2014	7.2	Новая Зеландия	фэнтези	Питер Джексон
Такси 2	2000	7.2	Франция	боевик	Жерар Кравчик
Запах женщины	1992	7.2	США	драма	Мартин Брест
Дело Коллини	2019	7.2	Германия	детектив	Марко Кройцпайнтнер
Сплетение судеб	2023	7.2	Франция	драма	Летиция Коломбани
Летят журавли	1957	7.2	СССР	военный	Михаил Калатозов
Мементо	2000	7.2	США	триллер	Кристофер Нолан
Мальчик в полосатой пижаме	2008	7.2	Великобритания	драма	Марк Херман
Ford против Ferrari	2019	7.2	США	биография	Джеймс Мэнголд
